Price,Close,High,Low,Open,Volume
Ticker,ANDHRAPAP.NS,ANDHRAPAP.NS,ANDHRAPAP.NS,ANDHRAPAP.NS,ANDHRAPAP.NS
Date,,,,,
2000-01-03,83.33348846435547,84.44400370817202,79.15638852270705,79.15638852270705,336
2000-01-04,85.23319244384766,85.23319244384766,81.29848637212793,81.29848637212793,842
2000-01-05,79.2860336303711,80.1597840847746,78.9308953391133,78.9308953391133,202
2000-01-06,83.91975402832031,84.55674571995941,79.26913034712706,79.26913034712706,1819
2000-01-07,80.74040985107422,81.73818020957172,78.91962387046817,78.91962387046817,269
2000-01-10,78.91961669921875,78.91961669921875,77.79219194724547,77.79219194724547,303
2000-01-11,80.61074829101562,81.73817304663622,77.80346725803828,77.80346725803828,505
2000-01-12,81.17446899414062,82.75286149511236,79.04927954644435,79.04927954644435,572
2000-01-13,82.86560821533203,82.86560821533203,79.7313674646068,80.61075842074143,1954
2000-01-14,79.82720947265625,82.86561536953937,79.04364776808953,79.04364776808953,1482
2000-01-17,83.65480041503906,83.88028422414122,80.39654575068977,81.17446692102331,1785
2000-01-18,83.5307846069336,85.00771319320963,81.75509300249072,81.86219738224257,1550
2000-01-19,79.5960693359375,79.5960693359375,79.5960693359375,79.5960693359375,67
2000-01-20,80.17669677734375,84.55673586683542,80.17669677734375,83.42931681845282,707
2000-01-21,84.55673217773438,84.55673217773438,81.1744635862585,81.1744635862585,336
2000-01-24,78.91961669921875,82.30188515819304,78.91961669921875,81.17446040621977,3268
2000-01-25,83.38985443115234,84.55673913317356,77.67945658612028,78.91962628266666,1112
2000-01-26,83.38985443115234,83.38985443115234,83.38985443115234,83.38985443115234,0
2000-01-27,79.86665344238281,82.41462554083476,79.14510182086651,80.15978179592375,1651
2000-01-28,78.91961669921875,78.91961669921875,76.21379961326109,76.66476719527219,303
2000-01-31,78.35591125488281,78.91962368073752,78.35591125488281,78.35591125488281,101
2000-02-01,76.77751922607422,76.77751922607422,75.08638193871259,75.76283917243569,235
2000-02-02,75.7008285522461,78.35591099689857,74.07170121206528,78.35591099689857,876
2000-02-03,74.9736328125,74.9736328125,71.02765213815789,71.02765213815789,202
2000-02-04,76.66477966308594,76.66477966308594,76.1123422563498,76.1123422563498,67
2000-02-07,72.96119689941406,74.97364743585004,72.83154239526198,74.97364743585004,438
