Price,Close,High,Low,Open,Volume
Ticker,GATEWAY.NS,GATEWAY.NS,GATEWAY.NS,GATEWAY.NS,GATEWAY.NS
Date,,,,,
2022-03-22,67.23491668701172,67.23491668701172,64.07529230346803,64.07529230346803,111351
2022-03-23,63.88945007324219,69.60465320688587,63.88945007324219,68.21070156892422,1379448
2022-03-24,64.72581481933594,67.00259938941153,60.72981776042355,60.72981776042355,1485373
2022-03-25,65.00460052490234,66.07329806677785,62.309633362786414,65.23692576922294,582339
2022-03-28,63.65711975097656,65.422793103676,62.68135084579937,65.422793103676,517596
2022-03-29,65.09754180908203,66.67735076828707,62.35609943986759,63.610654447472115,1306472
2022-03-30,62.820743560791016,66.67734396787438,62.40256096424136,65.93390036289313,1612893
2022-03-31,61.984371185302734,63.192465269095734,60.032840587640216,62.63488611119268,1771077
2022-04-01,65.05105590820312,65.05105590820312,62.35608217400565,62.63487524961321,2339092
2022-04-04,68.16422271728516,68.30361927666681,65.05106597777792,65.84097036093594,614508
2022-04-05,71.37032318115234,80.84919101599094,70.20869687345133,73.83296528147505,2244983
2022-04-06,69.55817413330078,71.55617257782518,68.21069060257692,71.23091866592668,1239969
2022-04-07,71.8349609375,72.62486526835157,69.69756607519285,70.58039907614408,671895
2022-04-08,73.08952331542969,75.27337919506348,71.18445347510867,72.48547626191299,657183
2022-04-11,72.02082824707031,73.41477976152974,71.5097098557669,73.08952582615667,405209
2022-04-12,69.41877746582031,72.02082293696363,68.86119831914775,71.64910114251408,1186899
2022-04-13,70.67334747314453,72.02083115553671,70.16222906120028,70.53395089806843,472692
2022-04-18,71.74203491210938,73.2289221954724,71.27738440855943,72.95012905734083,525124
2022-04-19,74.39054870605469,76.94612648422641,71.9278996109066,72.57840748207595,5223483
2022-04-20,73.60063171386719,76.66732765611312,72.16021950887566,76.20267718547001,1284964
2022-04-21,76.57439422607422,77.13197333822947,73.97234891601224,74.3440706874501,834905
2022-04-22,75.69155883789062,76.80672422152651,74.39054319198738,76.80672422152651,483759
2022-04-25,73.32185363769531,75.55217755667546,72.43901339372177,74.34408336597663,435364
2022-04-26,70.90565490722656,74.99457281469232,66.25915083964952,74.99457281469232,2449194
2022-04-27,69.7440414428711,72.29961913999156,67.46724978597966,71.55617551937317,2566750
2022-04-28,69.88343048095703,71.46324639239054,68.67534346751188,71.46324639239054,680314
2022-04-29,69.27938842773438,71.46324423495932,68.7218021875888,70.90566508481731,440409
2022-05-02,68.58241271972656,70.16222149351285,67.83896912617799,69.65110313669774,263031
2022-05-04,72.08007049560547,73.26171099553343,70.56757209812993,71.18202660052472,820684
2022-05-05,70.28397369384766,73.35623891500313,69.62225791569398,72.78905293199125,250989
2022-05-06,68.81874084472656,69.95311276139846,68.20428638479564,69.05506892837994,663956
2022-05-09,68.67694091796875,69.90584259642873,66.26639163719786,67.40077073903852,1583059
2022-05-10,68.29881286621094,69.5277217265225,67.49529886315818,68.06248479400952,639607
2022-05-11,68.62968444824219,69.76406374893888,66.7863280013326,69.00781088180776,464671
2022-05-12,67.40077209472656,69.1968597541528,66.40819126217146,69.1968597541528,259032
2022-05-13,68.81874084472656,70.33123913767601,66.17186342294448,69.57498638512091,370516
2022-05-16,69.48046875,69.953125,67.353515625,68.81875288486481,243629
2022-05-17,69.5277328491211,69.71679245226261,68.53515190222426,69.0078081222396,132480
2022-05-18,70.14218139648438,70.56757632926127,68.72421271155144,70.5203078215655,263659
2022-05-19,70.18944549560547,70.52030339220975,67.68436620046812,68.06249260179925,283589
2022-05-20,70.99295806884766,71.3710844620723,69.14960181859897,70.18944399084594,1372003
2022-05-23,73.68708801269531,74.11248285832244,70.14216702660362,71.84373198479172,1478610
2022-05-24,70.61482238769531,74.6323994614353,69.85857691287562,74.6323994614353,1829315
2022-05-25,69.57498168945312,73.73435712346527,67.3062307970683,73.73435712346527,848069
2022-05-26,71.79647064208984,72.31639532339693,69.48045825189118,69.76405484390612,267710
2022-05-27,70.85116577148438,72.7890591933139,70.04765162541909,72.7890591933139,1054166
2022-05-30,71.13475036621094,71.84373458912998,70.61482571787279,70.8984222919046,587619
2022-05-31,71.37108612060547,72.22186872209129,70.89842992113125,72.22186872209129,159926
2022-06-01,69.00780487060547,71.84374205706871,68.06249247511772,71.84374205706871,230811
2022-06-02,70.33125305175781,71.37109538311917,69.14961239971942,70.04765641040373,751022
2022-06-03,69.24412536621094,70.89842187666649,69.05506579273734,69.43318493968455,131338
2022-06-06,68.91326904296875,69.52772348869783,67.3535022844751,69.24412691000423,128218
2022-06-07,68.48787689208984,69.57498753733081,67.63710154657687,69.57498753733081,102195
2022-06-08,68.91326904296875,69.52772348869783,68.15701630789286,69.00779883181309,415930
2022-06-09,68.20428466796875,69.57498463379099,67.87342680161449,68.0624863789139,849643
2022-06-10,69.5277328491211,70.66210489229329,65.84101289056913,68.20429399064582,2916692
2022-06-13,66.03006744384766,68.62967645511851,64.32850950922152,68.62967645511851,212464
2022-06-14,66.2191390991211,67.87343586393122,64.28124571833605,64.28124571833605,723119
2022-06-15,67.49530792236328,68.0624939293422,65.27382518793509,67.11718151365689,75473
2022-06-16,66.9281234741211,68.5351517333488,66.21913914584508,68.5351517333488,323568
